date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:17	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%221538f-56b1504c41d80-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/jquery/jquery.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/jquery/jquery.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:17	68122/68122	---M--	200	added ('OK')	image/jpeg	etag:%225af5dcc5-10a1a%22	http://thevectorlab.net/kryptix/assets/img/b2.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/b2.jpg	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:18	20495/20495	---M-Z	200	added ('OK')	application/javascript	etag:%22500f-56b150cdf4f80-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/popper.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/popper.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:19	75554/75554	---M--	200	added ('OK')	image/jpeg	etag:%225af5dcdd-12722%22	http://thevectorlab.net/kryptix/assets/img/b3.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/b3.jpg	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:19	8155/8155	---M-Z	200	added ('OK')	application/javascript	etag:%221fdb-53dfd7942e280-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/wow.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/wow.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:19	50676/50676	---M-Z	200	added ('OK')	application/javascript	etag:%22c5f4-569619559fc80-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/bootstrap/js/bootstrap.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/bootstrap/js/bootstrap.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:19	2532/2532	---M-Z	200	added ('OK')	application/javascript	etag:%229e4-56b154a626180-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/jquery.easing.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/jquery.easing.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:20	115626/115626	---M--	200	added ('OK')	image/jpeg	etag:%225af5dca8-1c3aa%22	http://thevectorlab.net/kryptix/assets/img/b1.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/b1.jpg	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:20	5339/5339	---M-Z	200	added ('OK')	application/javascript	etag:%2214db-53939a3962b00-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/jquery.countdown.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/jquery.countdown.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:20	42854/42854	---M-Z	200	added ('OK')	application/javascript	etag:%22a766-55b6e85ceb540-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/owl/owl.carousel.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/owl/owl.carousel.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:21	21143/21143	---M-Z	200	added ('OK')	application/javascript	etag:%225297-55b6e85ceb540-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/magnific-popup/jquery.magnific-popup.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/magnific-popup/jquery.magnific-popup.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:21	6055/6055	---M-Z	200	added ('OK')	application/javascript	etag:%2217a7-5262a10545f00-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/contact-form/form-validator.min.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/contact-form/form-validator.min.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:21	1616/1616	---M-Z	200	added ('OK')	application/javascript	etag:%22650-54a0d6af49f40-gzip%22	http://thevectorlab.net/kryptix/assets/vendor/contact-form/contact-form-script.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/contact-form/contact-form-script.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:21	6324/6324	---M-Z	200	added ('OK')	application/javascript	etag:%2218b4-579e6446d3540-gzip%22	http://thevectorlab.net/kryptix/assets/js/scripts.js	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/js/scripts.js	(from http://thevectorlab.net/kryptix/blog-list.html)
13:19:25	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-5443c335cce80%22	http://thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e.html	(from http://thevectorlab.net/kryptix/assets/vendor/font-awesome/css/font-awesome.min.css)
13:19:40	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%22585ba1ea-17ee8%22	http://thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://thevectorlab.net/kryptix/assets/vendor/font-awesome/css/font-awesome.min.css)
13:19:45	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22585ba1ea-6c7db%22	http://thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://thevectorlab.net/kryptix/assets/vendor/font-awesome/css/font-awesome.min.css)
13:19:45	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22585ba1ea-2876e%22	http://thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://thevectorlab.net/kryptix/assets/vendor/font-awesome/css/font-awesome.min.css)
13:19:50	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22585ba1ea-2876e%22	http://thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://thevectorlab.net/kryptix/assets/vendor/font-awesome/css/font-awesome.min.css)
13:19:52	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%22585ba1ea-286ac%22	http://thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://thevectorlab.net/kryptix/assets/vendor/font-awesome/css/font-awesome.min.css)
13:19:57	379887/379887	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258fdfe1c-5cbef%22	http://thevectorlab.net/kryptix/assets/vendor/bicon/fonts/bicon.svg?b8vo7z	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/bicon/fonts/bicon615a.svg	(from http://thevectorlab.net/kryptix/assets/vendor/bicon/css/bicon.min.css)
13:19:59	4976/4976	---M--	200	added ('OK')	image/png	etag:%2259e0ce6d-1370%22	http://thevectorlab.net/kryptix/assets/vendor/owl/assets/owl.video.play.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/owl/assets/owl.video.play.png	(from http://thevectorlab.net/kryptix/assets/vendor/owl/assets/owl.carousel.min.css)
13:20:00	953/953	---M--	200	added ('OK')	image/png	etag:%225aeb57c2-3b9%22	http://thevectorlab.net/kryptix/assets/img/line.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/line.png	(from http://thevectorlab.net/kryptix/assets/css/main.css)
13:20:04	103968/103968	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258fdfe1c-19620%22	http://thevectorlab.net/kryptix/assets/vendor/bicon/fonts/bicon.eot?b8vo7z	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/bicon/fonts/bicon615a.eot	(from http://thevectorlab.net/kryptix/assets/vendor/bicon/css/bicon.min.css)
13:20:05	103812/103812	---M--	200	added ('OK')	application/octet-stream	etag:%2258fdfe1c-19584%22	http://thevectorlab.net/kryptix/assets/vendor/bicon/fonts/bicon.ttf?b8vo7z	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/bicon/fonts/bicon615a.ttf	(from http://thevectorlab.net/kryptix/assets/vendor/bicon/css/bicon.min.css)
13:20:06	2937/2937	---M--	200	added ('OK')	image/png	etag:%225aeeb775-b79%22	http://thevectorlab.net/kryptix/assets/img/c1.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/c1.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:07	3727/3727	---M--	200	added ('OK')	image/png	etag:%225aeeb76d-e8f%22	http://thevectorlab.net/kryptix/assets/img/c2.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/c2.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:08	103888/103888	---M--	200	added ('OK')	application/font-woff	etag:%2258fdfe1c-195d0%22	http://thevectorlab.net/kryptix/assets/vendor/bicon/fonts/bicon.woff?b8vo7z	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/vendor/bicon/fonts/bicon615a.woff	(from http://thevectorlab.net/kryptix/assets/vendor/bicon/css/bicon.min.css)
13:20:08	4274/4274	---M--	200	added ('OK')	image/png	etag:%225aeeb95d-10b2%22	http://thevectorlab.net/kryptix/assets/img/c3.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/c3.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:08	22551/22551	---M--	200	added ('OK')	image/png	etag:%225af92fba-5817%22	http://thevectorlab.net/kryptix/assets/img/banner-curve.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/banner-curve.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:09	4077/4077	---M--	200	added ('OK')	image/png	etag:%225aeeb766-fed%22	http://thevectorlab.net/kryptix/assets/img/c4.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/c4.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:09	1676/1676	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225af6dd72-68c%22	http://thevectorlab.net/kryptix/assets/img/svg-icons/bitcoin.svg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/svg-icons/bitcoin.svg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:09	5219/5219	---M--	200	added ('OK')	image/png	etag:%225aeeb75e-1463%22	http://thevectorlab.net/kryptix/assets/img/c5.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/c5.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:09	1301/1301	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225af6dead-515%22	http://thevectorlab.net/kryptix/assets/img/svg-icons/dash.svg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/svg-icons/dash.svg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:10	1071/1071	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225af6df06-42f%22	http://thevectorlab.net/kryptix/assets/img/svg-icons/Ethereum.svg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/svg-icons/Ethereum.svg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:10	1223/1223	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225af6df5a-4c7%22	http://thevectorlab.net/kryptix/assets/img/svg-icons/ripple.svg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/svg-icons/ripple.svg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:10	734/734	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225af6dfb1-2de%22	http://thevectorlab.net/kryptix/assets/img/svg-icons/litecoin.svg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/svg-icons/litecoin.svg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:13	120766/120766	---M--	200	added ('OK')	image/png	etag:%225af28b9f-1d7be%22	http://thevectorlab.net/kryptix/assets/img/banner-thumb.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/banner-thumb.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:17	36993/36993	---M--	200	added ('OK')	image/png	etag:%225af28c05-9081%22	http://thevectorlab.net/kryptix/assets/img/art4.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/art4.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:25	71972/71972	---M--	200	added ('OK')	image/jpeg	etag:%225aeecd9f-11924%22	http://thevectorlab.net/kryptix/assets/img/team1.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/team1.jpg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:27	60581/60581	---M--	200	added ('OK')	image/jpeg	etag:%225aeecdbd-eca5%22	http://thevectorlab.net/kryptix/assets/img/team3.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/team3.jpg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:29	113583/113583	---M--	200	added ('OK')	image/jpeg	etag:%225aeecdb1-1bbaf%22	http://thevectorlab.net/kryptix/assets/img/team2.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/team2.jpg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:31	134067/134067	---M--	200	added ('OK')	image/png	etag:%225ae7f583-20bb3%22	http://thevectorlab.net/kryptix/assets/img/art3.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/art3.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:34	57629/57629	---M--	200	added ('OK')	image/jpeg	etag:%225aeecd89-e11d%22	http://thevectorlab.net/kryptix/assets/img/team4.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/team4.jpg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:35	48323/48323	---M--	200	added ('OK')	image/jpeg	etag:%225af9343b-bcc3%22	http://thevectorlab.net/kryptix/assets/img/a1.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/a1.jpg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:43	85700/85700	---M--	200	added ('OK')	image/jpeg	etag:%225af933f2-14ec4%22	http://thevectorlab.net/kryptix/assets/img/a2.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/a2.jpg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:46	89408/89408	---M--	200	added ('OK')	image/jpeg	etag:%225af933f7-15d40%22	http://thevectorlab.net/kryptix/assets/img/a3.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/a3.jpg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:46	16780/16780	---M--	200	added ('OK')	image/png	etag:%225af28d65-418c%22	http://thevectorlab.net/kryptix/assets/img/telegram-icon.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/telegram-icon.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:46	73305/73305	---M--	200	added ('OK')	image/png	etag:%225af33260-11e59%22	http://thevectorlab.net/kryptix/assets/img/app-img.png	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/app-img.png	(from http://thevectorlab.net/kryptix/landing-1-light.html)
13:20:48	128116/128116	---M--	200	added ('OK')	image/jpeg	etag:%225af5dcfa-1f474%22	http://thevectorlab.net/kryptix/assets/img/b4.jpg	C:/Users/Alireza_MTK380091264/Desktop/blog%20new/thevectorlab.net/kryptix/assets/img/b4.jpg	(from http://thevectorlab.net/kryptix/landing-1-light.html)
